씬,에셋명,타입,규격,우선순위,설명,SD프롬프트
홈,수리_캐릭터_애니메이션,스프라이트 시퀀스,128x128px,P0,닌자 너구리가 슬라이드 준비 자세를 취하는 애니메이션,"a cute ninja raccoon with a tiny sword, pixel art style, soft shader glow, pastel green fur #A8E6A3, dark brown outfit #7D6B5E, standing on mossy ground, warm ambient light, background blurred forest, minimalist, dreamy, Studio Ghibli aesthetic"
홈,시즌_배너_치즈,스프라이트,800x400px,P0,상단 중앙 이벤트 배너,"a glowing cheese icon floating above a misty forest, soft pastel colors, pixel art with subtle shader glow, "Tail Remembers the Taste" text in delicate brushstroke font, whimsical, magical, dreamlike, Studio Ghibli meets Stardew Valley"
전투,수리검_궤적_치즈,이펙트,64x64px,P0,던진 검이 남기는 치즈 흔적,"a glowing pink trail #FFB3D1 made of floating cheese crumbs, pixel art, soft particle glow, trailing behind a thrown sword, magical, whimsical, dreamy, subtle motion blur, background misty forest"
전투,수리검_궤적_생선,이펙트,64x64px,P0,던진 검이 남기는 생선 흔적,"a shimmering blue trail #A2E5F7 made of slippery fish scales, pixel art, subtle wet reflection effect, trailing sword, magical forest background, dreamy, soft glow, Studio Ghibli style"
전투,수리검_궤적_김치,이펙트,64x64px,P0,던진 검이 남기는 김치 폭발 흔적,"a spicy red explosion trail #FF6B6B with floating kimchi leaves, pixel art, particle burst effect, glowing sparks, magical forest, whimsical, dreamy, soft lighting, Studio Ghibli aesthetic"
전투,적_고양이,스프라이트,96x96px,P0,치즈 드롭하는 고양이 적,"a cute chubby cat with a tiny hat, pixel art, pastel green fur #A8E6A3, wearing a leaf cloak, holding a cheese wedge, magical forest background, soft glow, dreamy, Studio Ghibli style"
전투,적_토끼,스프라이트,96x96px,P0,모자 드롭하는 토끼 적,"a fluffy rabbit with oversized ears, pixel art, gray-brown fur #7D6B5E, wearing a mushroom cap, holding a tiny hat, magical forest, soft lighting, dreamy, whimsical"
전투,적_오리,스프라이트,96x96px,P0,아이템 드롭하는 오리 적,"a round duck with a tiny umbrella, pixel art, yellow feathers #FFF5B2, holding a cheese chunk, magical forest background, soft glow, dreamy, Studio Ghibli style"
전투,보스_거대고양이우산,스프라이트,256x256px,P0,3라운드 보스: 거대한 고양이 우산,"a giant cat with an umbrella for a body, pixel art, pastel green fur #A8E6A3, floating above misty forest, umbrella leaking cheese drops, dreamy, whimsical, magical, Studio Ghibli aesthetic"
전투,체력바,UI_이미지,200x20px,P0,상단 왼쪽 체력 바,"a thin horizontal health bar with pixel art texture, green to red gradient, minimal design, floating above forest, soft glow, dreamy"
전투,이벤트_아이템_아이콘,UI_이미지,32x32px,P0,적 위에 뜨는 치즈 드롭 확률 아이콘,"a tiny glowing cheese icon #FFB3D1 floating above enemies, pixel art, soft pulse animation, magical forest background, dreamy, minimalist"
성장,꼬리_무게_지표,UI_이미지,150x40px,P0,상단 중앙 꼬리 무게 막대기,"a vertical bar made of stacked cheese chunks #FFB3D1, growing as throws increase, pixel art, soft glow, dreamy, minimalist, floating above forest"
성장,시즌_스킨_잠금아이콘,UI_이미지,64x64px,P0,오른쪽 하단 치즈 모양 잠금 해제 아이콘,"a glowing cheese lock icon #FFB3D1 with a keyhole, pixel art, soft light pulse, magical forest background, dreamy, whimsical"
성장,아이템_루트맵,스프라이트,400x300px,P0,좌측 아이템 루트 맵,"a branching tree diagram made of cheese, fish, and kimchi icons, pixel art, glowing paths, magical forest background, dreamy, minimalist"
결과,점수_애니메이션,이펙트,300x100px,P0,전투 점수 애니메이션,"floating pixel art numbers rising with cheese sparkles, pastel colors, soft glow, dreamy, magical forest background, minimalist"
결과,이벤트_아이템_애니메이션,이펙트,200x60px,P0,획득 아이템 애니메이션(치즈 흔적 강조),"three glowing cheese icons #FFB3D1 floating in horizontal scroll, each with a trail of sparkles, pixel art, dreamy, magical, soft motion"
